cohort_id,market,segment,product,benefit_tier,accounts,avg_monthly_balance,total_balance,current_apy,competitor_apy,rate_gap_bps,deposit_growth_pct,direct_deposit_rate,rewards_utilization,debit_txn_per_account,complaint_rate_per_10k,data_quality_score,risk_control_score,rule_complexity_score,attrition_risk_score,balances_at_risk,priority_score,recommended_decision,primary_owner
DPR039,Digital national,Branch-assisted households,Money market,Premier,5994,100591,602942454,1.76,2.5,74,0.4,35.7,91.0,15.5,2.2,85.2,76.1,96,16.3,29541443,67.3,Run direct deposit prompt,Technology
DPR004,Texas expansion market,Savings rate shoppers,Savings,Level 1,3841,3037,11665117,0.2,1.05,85,-0.4,45.0,40.3,13.9,1.5,82.6,76.4,46.2,22.8,556908,67.2,Run direct deposit prompt,Distribution
DPR027,Florida growth market,Small business owners,Debit rewards,Premier,6403,125798,805484594,0.24,0.46,23,4.9,45.1,47.5,14.8,2.3,94.2,73.9,67.4,28.2,45771818,66.0,Run direct deposit prompt,Servicing enablement
DPR009,Mid-Atlantic metro,Savings rate shoppers,Savings,Level 3,2723,30053,81834319,0.16,0.71,55,-1.0,45.0,54.5,21.8,2.7,81.9,95.7,69.6,27.6,5273774,64.8,Run direct deposit prompt,Risk and compliance
DPR005,Southeast metro,Emerging affluent,Certificate renewal,Level 3,2011,40154,80749694,3.72,4.17,45,2.0,66.1,68.9,24.9,2.9,82.6,67.0,61.7,23.1,3900758,63.3,Monitor in monthly review,Distribution
DPR042,Texas expansion market,Digital-first households,Debit rewards,Level 1,8163,6837,55810431,0.02,0.56,54,6.1,85.7,14.2,12.1,0.9,85.6,90.2,31.5,15.8,2657639,63.3,Monitor in monthly review,Pricing analytics
DPR016,Texas expansion market,Branch-assisted households,Savings,Premier,10020,156925,1572388500,0.01,0.09,8,5.2,53.6,54.0,16.4,1.4,86.2,66.6,48.4,16.9,50759672,61.8,Monitor in monthly review,Rewards platform
DPR020,Mid-Atlantic metro,Early-tenure checking,Everyday checking,Level 1,4436,3603,15982908,0.01,0.46,45,-1.7,61.1,61.4,18.4,4.6,75.8,75.7,53.3,26.2,899805,61.4,Monitor in monthly review,Technology
DPR001,Mid-Atlantic metro,Savings rate shoppers,Relationship checking,Premier,11144,265207,2955466808,0.04,0.09,4,-1.4,52.8,40.5,10.2,1.2,94.3,85.0,96,16.3,155151364,60.9,Launch reward nudge,Deposit product
DPR025,Southeast metro,Early-tenure checking,Everyday checking,Level 3,6154,47857,294511978,0.01,0.51,50,4.1,84.7,40.9,19.9,0.9,92.1,77.8,41.1,8.7,7066250,60.6,Launch reward nudge,Rewards platform
DPR028,Texas expansion market,Emerging affluent,Certificate renewal,Premier,6078,142337,865124286,3.73,4.15,41,3.3,69.6,73.2,12.9,1.6,80.6,81.1,72.0,9.8,23244289,60.6,Monitor in monthly review,Technology
DPR035,Carolinas core market,Digital-first households,Everyday checking,Premier,11097,264511,2935278567,0.01,0.01,0,-0.1,28.7,55.8,13.5,1.5,84.6,69.4,42.5,13.7,89095735,60.4,Run direct deposit prompt,Technology
DPR013,Texas expansion market,Branch-assisted households,Savings,Level 2,5055,10435,52748925,0.25,0.34,10,1.4,94.0,18.3,12.7,1.4,91.1,73.1,86.1,23.5,4403529,60.1,Launch reward nudge,Rewards platform
DPR033,Texas expansion market,Debit-engaged households,Everyday checking,Premier,7300,217691,1589144300,0.01,0.17,16,3.4,49.0,57.3,16.7,1.4,82.2,83.1,77.5,11.5,56422347,59.8,Monitor in monthly review,Servicing enablement
DPR002,Texas expansion market,Early-tenure checking,Money market,Level 3,10987,25474,279882838,2.24,2.69,46,3.2,39.0,89.5,16.7,1.2,83.2,88.3,83.4,17.2,12896973,59.3,Run direct deposit prompt,Technology
DPR003,Carolinas core market,Savings rate shoppers,Relationship checking,Level 3,7609,34236,260501724,0.01,0.01,0,4.2,54.0,26.0,19.1,2.4,99,81.2,74.6,21.0,18776223,57.6,Launch reward nudge,Marketing
DPR022,Carolinas core market,Small business owners,Relationship checking,Level 2,11641,12293,143102813,0.01,0.28,27,2.8,38.1,57.6,19.1,0.9,82.4,89.7,51.0,15.7,6379736,56.8,Run direct deposit prompt,Technology
DPR041,Carolinas core market,Early-tenure checking,Savings,Level 1,6905,6678,46111590,0.26,0.74,47,5.0,52.8,90.9,24.3,1.9,85.1,82.6,28.1,18.1,2976176,56.5,Monitor in monthly review,Marketing
DPR021,Southeast metro,Digital-first households,Debit rewards,Level 2,7575,25075,189943125,0.07,0.19,12,-2.8,94.0,42.1,18.6,1.0,83.6,77.7,83.6,11.9,6715201,56.1,Monitor in monthly review,Risk and compliance
DPR012,Texas expansion market,Savings rate shoppers,Savings,Level 3,9110,27051,246434610,0.01,0.02,1,-0.7,32.9,19.3,13.3,1.3,99,80.0,56.8,14.3,11879017,55.4,Launch reward nudge,Risk and compliance
DPR031,Mid-Atlantic metro,Early-tenure checking,Everyday checking,Level 1,1488,8525,12685200,0.35,0.92,56,5.6,67.5,43.1,15.5,1.7,90.2,94.5,44.2,14.2,487241,54.7,Monitor in monthly review,Rewards platform
DPR037,Florida growth market,Small business owners,Relationship checking,Level 3,3648,26635,97164480,0.14,0.08,0,-1.1,69.9,44.5,16.8,2.2,80.7,84.1,33.6,17.1,3703792,53.5,Monitor in monthly review,Distribution
DPR048,Digital national,Emerging affluent,Relationship checking,Premier,1890,281492,532019880,0.4,0.75,35,3.8,71.5,72.3,9.7,0.1,92.7,79.0,40.5,5,6365345,53.0,Monitor in monthly review,Pricing analytics
DPR046,Carolinas core market,Small business owners,Debit rewards,Level 2,2364,10062,23786568,0.04,0.42,37,4.0,47.4,81.0,18.6,0.1,64.4,75.7,57.0,8.6,446113,52.7,Fix measurement gap,Rewards platform
DPR015,Southeast metro,Digital-first households,Everyday checking,Premier,11111,186205,2068923755,0.01,0.01,0,-3.0,62.0,78.2,22.1,1.5,78.8,98.3,63.9,6.1,41541817,50.8,Monitor in monthly review,Distribution
DPR017,Mid-Atlantic metro,Small business owners,Relationship checking,Level 4,4623,51496,238066008,0.03,0.01,0,1.8,81.5,63.6,14.0,1.5,80.9,76.8,30.1,8.4,5092882,50.6,Monitor in monthly review,Technology
DPR024,Digital national,Debit-engaged households,Certificate renewal,Level 2,4155,24292,100933260,3.52,3.25,0,4.9,52.2,72.8,13.8,0.9,81.4,69.9,50.0,11.2,3310597,50.4,Monitor in monthly review,Distribution
DPR008,Mid-Atlantic metro,Savings rate shoppers,Certificate renewal,Level 1,9766,7541,73645406,3.71,3.44,0,2.8,70.8,66.5,16.8,3.2,74.9,78.0,71.2,11.6,2024255,50.0,Monitor in monthly review,Distribution
DPR034,Digital national,Digital-first households,Debit rewards,Level 1,5187,2776,14399112,0.01,0.01,0,1.3,70.7,28.8,18.9,0.6,86.8,84.8,57.5,18.1,605279,49.8,Monitor in monthly review,Pricing analytics
DPR036,Texas expansion market,Branch-assisted households,Debit rewards,Level 2,6083,13026,79237158,0.01,0.01,0,4.2,51.3,47.9,19.3,1.4,97.3,83.8,42.1,14.3,4009986,49.5,Monitor in monthly review,Risk and compliance
DPR040,Carolinas core market,Digital-first households,Savings,Level 4,2623,54200,142166600,0.01,0.01,0,2.1,58.4,41.7,22.7,0.1,80.3,79.5,71.6,5,2359361,49.5,Launch reward nudge,Technology
DPR032,Texas expansion market,Premier relationship,Money market,Premier,7670,237196,1819293320,2.23,2.26,3,4.9,45.6,79.9,17.7,0.1,94.5,91.0,88.3,5.3,22782849,47.7,Run direct deposit prompt,Pricing analytics
DPR018,Digital national,Savings rate shoppers,Relationship checking,Level 3,955,44194,42205270,0.23,0.01,0,3.3,50.4,60.9,16.8,1.3,91.4,87.7,40.9,15.7,1886853,47.4,Monitor in monthly review,Rewards platform
DPR006,Texas expansion market,Debit-engaged households,Money market,Level 2,1540,17770,27365800,2.15,1.79,0,0.6,47.3,69.7,15.0,1.8,83.1,80.5,64.6,7.8,738932,44.2,Run direct deposit prompt,Rewards platform
DPR007,Mid-Atlantic metro,Emerging affluent,Money market,Level 2,11780,10449,123089220,1.94,1.77,0,1.5,84.7,73.3,12.6,0.9,97.1,72.0,59.3,6.6,1769254,44.2,Monitor in monthly review,Deposit product
